county_id,name,lat,lon,w_ell,p_xf,pc,pd,AM_xn,AM_xf,AM_c,AM_d,A_xf_home,A_c_home,A_d_home,N,D_M_m,D_xf_m,D_c_m,D_d_m,D_M_f,D_xf_f,D_c_f,D_d_f,V_star,P_m,P_f,xi,LM_xf_total,LM_c_total,LM_d_total,LM_xn_total
11,Isiolo,0.35,37.58,0.054517,0.056117,0.068686,0.041917,0.054517,0.9715,0.7937,1.3006,1.0,1.0,1.0,43797392.69,1.0,1.0,1.0,1.2724,1.1542,0.1484,0.8623,0.1336,3.421698,0.5525,0.3434,0.052045,26357186.43,35619.08,146051.22,13181670.77
12,Meru,0.05,37.65,0.062847,0.056117,0.068686,0.013798,0.062847,1.1199,0.915,4.5548,1.0,1.0,1.0,364474728.81,1.0,1.0,1.0,1.3722,1.145,0.3209,0.642,0.2548,3.436318,0.5592,0.3543,0.037424,215138927.49,312424.34,5367574.71,125744862.64
13,Tharaka-Nithi,-0.3,37.8,0.058719,0.056117,0.068686,0.109904,0.058719,1.0464,0.8549,0.5343,1.0,1.0,1.0,90274673.27,1.0,1.0,1.0,1.7527,1.1747,0.2525,1.0803,0.4144,3.424365,0.555,0.3467,0.049378,53747742.52,74921.01,75719.62,29983390.23
14,Embu,-0.53,37.45,0.094122,0.056117,0.068686,0.015063,0.094122,1.6773,1.3703,6.2487,1.0,1.0,1.0,159963643.12,1.0,1.0,1.0,1.8792,1.2395,0.3399,0.5316,0.5068,3.47348,0.5813,0.3907,0.000263,95451084.59,174853.14,2448472.02,73307690.86
15,Kitui,-1.37,38.01,0.038198,0.056117,0.068686,0.021324,0.038198,0.6807,0.5561,1.7913,1.0,1.0,1.0,215156218.88,1.0,1.0,1.0,1.204,1.2978,0.2425,1.1998,0.2534,3.410608,0.5428,0.3312,0.063135,142853335.11,170748.31,1810447.52,27316451.21
16,Machakos,-1.52,37.27,0.181257,0.056117,0.068686,0.022684,0.181257,3.23,2.6389,7.9907,1.0,1.0,1.0,353560517.58,1.0,1.0,1.0,1.9613,1.2339,0.284,0.5904,0.4778,3.603314,0.6361,0.4957,-0.129571,248033555.28,762292.36,5519528.45,188691028.27
17,Makueni,-1.8,37.62,0.071146,0.056117,0.16643,0.017649,0.071146,1.2678,0.4275,4.0313,1.0,1.0,1.0,223861055.78,1.0,1.0,1.0,1.5998,1.0906,0.3717,0.9561,0.5001,3.44275,0.5645,0.3621,0.030993,131394448.92,54507.41,2546514.61,87152011.15
18,Nyandarua,-0.18,36.5,0.079215,0.056117,0.068686,0.017397,0.079215,1.4116,1.1533,4.5534,1.0,1.0,1.0,120351018.51,1.0,1.0,1.0,1.6174,1.3729,0.286,0.5792,0.2811,3.452738,0.5704,0.3716,0.021005,70750949.74,116095.69,1449986.45,50456392.85
19,Nyeri,-0.42,36.95,0.086478,0.056117,0.068686,0.036733,0.086478,1.541,1.259,2.3543,1.0,1.0,1.0,129001209.16,1.0,1.0,1.0,1.7058,1.1977,0.223,0.6238,0.3146,3.45687,0.5744,0.3774,0.016873,76338314.14,131398.14,630082.63,57761067.58
20,Kirinyaga,-0.66,37.3,0.083462,0.056117,0.068686,0.023588,0.083462,1.4873,1.2151,3.5384,1.0,1.0,1.0,125779077.36,1.0,1.0,1.0,1.9797,1.1836,0.293,0.5054,0.3866,3.455486,0.5728,0.3753,0.018257,74193677.26,125275.95,1072516.17,54825696.53
