,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,wage_gap_closed,wage_gap_closed,wage_gap_closed,care_price_-30%,care_price_-30%,care_price_-30%,dom_price_-30%,dom_price_-30%,dom_price_-30%
,county,GDP,Pf,ratio_fm,LM_m,LM_f,E,V_star,converged,dGDP_pct,dPf_pp,dratio_pp,dGDP_pct,dPf_pp,dratio_pp,dGDP_pct,dPf_pp,dratio_pp
code,,,,,,,,,,,,,,,,,,
1,Mombasa,148729143.1103992,0.12524965571091812,0.674616294756167,0.6120890943039531,0.4129252768599909,0.4085183204478695,2.3676658100650623,True,4.7713549561220425,0.0972255813084022,6.524757020988403,0.015209844353059054,0.0,2.220446049250313e-13,0.038942123567653475,0.0,5.551115123125783e-13
2,Kwale,105355343.90019013,0.1281600314599396,0.6217602346190845,0.6953149392963823,0.43231917979107315,0.5626547474850903,2.3383900799458215,True,5.535730054106747,0.16026749387820505,6.013543532821897,0.035250551915710915,0.0,-1.887379141862766e-12,0.09854447620996076,0.0,-6.0396132539608516e-12
3,Kilifi,110460185.09990744,0.12314265363663958,0.7604131297250886,0.5068364861905094,0.3854051187229919,0.3022750900972607,2.396057938208653,True,3.5819486909627996,0.052747812005747574,7.354567248234744,0.005530233845152388,0.0,1.687538997430238e-12,0.02435573399781621,0.0,7.849276784099857e-12
4,Tana River,13762712.5103322,0.12172394565476677,0.6838243467549033,0.3763077017032893,0.25732836829609085,0.23363681705314898,2.4487020036674307,True,1.5362686496237954,0.023366445127587232,6.61381549683081,0.0012272222081888273,0.0,2.4424906541753444e-13,0.005133964494041798,0.0,1.0103029524088925e-12
5,Lamu,20392324.313497532,0.12775771444498898,0.687536860184517,0.6808652669021378,0.468119967814589,0.549077009003031,2.3702087374736847,True,5.81843358270735,0.15144439253316488,6.649722206689246,0.03160209887052012,0.0,7.993605777301127e-13,0.0196367455919777,0.0,4.996003610813204e-13
6,Taita Taveta,26824658.28403264,0.12367976176001128,0.7042102131164809,0.5411734825508201,0.3810998934801012,0.32718068163662256,2.3816580875782343,True,3.86510970173064,0.06399121012198583,6.810983617721156,0.007575129910364353,0.0,7.216449660063518e-13,0.03407458082729242,0.0,3.574918139293004e-12
7,Garissa,45258121.38969464,0.1237298110208844,0.755874478876952,0.542335877737359,0.4099378489610006,0.3328000069261059,2.3965854225891623,True,4.129735316660854,0.0650422254566213,7.3106703043392285,0.007522644337898399,0.0,1.7208456881689926e-12,0.025753778332671118,0.0,6.084022174945858e-12
8,Wajir,43313615.48957685,0.1247093403050338,0.6289655680948424,0.593580376455014,0.3733416186869783,0.37591904065906556,2.3561857238228052,True,4.235715031605181,0.08572519137786949,6.083232109668845,0.01136198277778,0.0,-8.659739592076221e-13,0.06183948587010768,0.0,-5.140332604014475e-12
