,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,wage_gap_closed,wage_gap_closed,wage_gap_closed,care_price_-30%,care_price_-30%,care_price_-30%,dom_price_-30%,dom_price_-30%,dom_price_-30%
9,Mandera,57543461.93033019,0.12816983790619366,0.7555613058481653,0.6838815142179884,0.5167144099279639,0.5825341322541068,2.3930678825910254,True,6.348769250456443,0.16048298456098065,7.30764135760994,0.033542509018524846,0.0,3.4861002973229915e-12,0.07386108859357421,0.0,8.337774914934926e-12
10,Marsabit,33051257.7438518,0.12562902053605174,0.6789362501760408,0.624561172996474,0.4240372207997755,0.4294725033570125,2.364913326821026,True,4.982985122657846,0.10533873756959633,6.5665387861130515,0.017417355057780526,0.0,3.4416913763379853e-13,0.040228162128297384,0.0,8.215650382226158e-13
11,Isiolo,12237522.750303347,0.12266218728966317,0.7899942677173702,0.47284966751168495,0.3735485268262955,0.2794121293388316,2.432377401156216,True,3.133479111644699,0.042745677608524435,7.640670236065983,0.004269897224729036,0.0,2.2648549702353193e-12,0.0068348043660737545,0.0,3.6193270602780103e-12
12,Meru,107906196.33284935,0.1229840691082344,0.7963418199134851,0.4969858975556144,0.39577065413077483,0.29605947354544987,2.4299187305574117,True,3.549229833495171,0.04944064939444437,7.702062521444908,0.005224736959275056,0.0,2.3647750424515834e-12,0.031855497510902,0.0,1.5576429035490946e-11
13,Tharaka-Nithi,25887209.67364119,0.12282445274160492,0.7762078690928682,0.48413883105827954,0.3757923704008593,0.28676049147151556,2.402431890725826,True,3.2790026656990046,0.04611775563228143,7.507330881741314,0.004980516879493635,0.0,2.1316282072803006e-12,0.0036135611187315675,0.0,1.5210055437364645e-12
14,Embu,57102510.93753852,0.12420144232122762,0.7356283855601351,0.5673306801073799,0.4173445522861253,0.35697180824836483,2.39471840087918,True,4.428508119613284,0.07497399150387662,7.114854044898877,0.009788997959558898,0.0,1.4876988529977098e-12,0.05634255597883886,0.0,9.50350909079134e-12
15,Kitui,53197994.77801839,0.12203432755402832,0.7025823577807784,0.4149489276530901,0.29153579594911366,0.24725288005235396,2.4376834240286667,True,2.03258698493356,0.02975486973560426,6.79523931646534,0.00229800806232916,0.0,6.217248937900877e-13,0.00919527044749291,0.0,2.55351295663786e-12
16,Machakos,195010989.4792529,0.12766640106719088,0.7389670021188569,0.6755291139975252,0.49919372421475877,0.5515632537678985,2.4003206685772858,True,6.111185352736803,0.14944661297564277,7.147144493316581,0.02809374981129764,0.0,2.4980018054066022e-12,0.08485942702687321,0.0,8.459899447643693e-12
17,Makueni,70409285.74271896,0.12330576666966919,0.8360639865766311,0.515786048201453,0.4312301396799132,0.31452226246766524,2.4125607411649463,True,4.046272749459767,0.05615537873549098,8.08624755858338,0.002132754847861129,0.0,1.0658141036401503e-12,0.03692882893511218,0.0,2.0083934515469082e-11
18,Nyandarua,38764886.4408446,0.12361948314397134,0.6641498900202081,0.5403736261383632,0.3588890843696149,0.32209853245511344,2.389978942058937,True,3.643928531246865,0.06272613271084415,6.423527997893186,0.007061935233676486,0.0,-4.440892098500626e-14,0.036637131758721075,0.0,-2.6645352591003757e-13
19,Nyeri,44164790.33921749,0.12390262665894776,0.7613019820191773,0.551246942216982,0.41966538969179934,0.3423595067680631,2.3966877719612607,True,4.300142680503183,0.06867562819989209,7.363164054676252,0.008783136174805861,0.0,1.9984014443252818e-12,0.02405987103315521,0.0,5.617728504603292e-12
20,Kirinyaga,42346087.30277636,0.12378494214433391,0.7703712266399396,0.545050812328997,0.4198914628749849,0.3366703603794568,2.4021124295958507,True,4.243050532024606,0.06620061181466519,7.450880017020145,0.007928836412429696,0.0,2.0539125955565396e-12,0.036887010717556734,0.0,1.0202949596305189e-11
21,Murang'a,70291485.714949,0.12303507345786702,0.7467742701651182,0.5016419757501602,0.3746133203250138,0.2965077957934778,2.420583415605385,True,3.4218142915729777,0.05050368265061833,7.222654862629407,0.005019372438530567,0.0,1.4099832412739488e-12,0.019023668522111237,0.0,5.451195050909519e-12
22,Kiambu,171441314.4595716,0.12266794664925611,0.6592519586574015,0.4762950359224534,0.31399843533067484,0.275059872975294,2.414050697734162,True,2.7014475052101083,0.04286526118607581,6.37615616140399,0.0039596929397367475,0.0,-1.3322676295501878e-13,0.011235963818090333,0.0,-3.774758283725532e-13
23,Turkana,38591770.098409824,0.12391128173054933,0.814990511082058,0.5491500088205081,0.4475520463493426,0.34597806688248167,2.393039350121116,True,4.538851247530418,0.06885777558798545,7.88242902048556,0.009926730373344128,0.0,3.4861002973229915e-12,0.037124047451486675,0.0,1.3888890038060708e-11
24,West Pokot,32255293.07969375,0.1229410694393577,0.5982229262217043,0.4977264791136991,0.29775139079342305,0.28540529688756255,2.376483007120825,True,2.7574911254190315,0.04854491033516317,5.785895281142817,0.004775629458819708,0.0,-1.2545520178264269e-12,0.02836292078827185,0.0,-7.93809462606987e-12
25,Samburu,16816600.503074847,0.12388976772203367,0.6321925979791642,0.5554521936722752,0.35115276537090145,0.33376127053638116,2.3717734006003015,True,3.705420628187772,0.06840504090330768,6.114443311853646,0.007423330786227034,0.0,-6.217248937900877e-13,0.024454192658751595,0.0,-2.1538326677728037e-12
26,Trans Nzoia,185922082.6827871,0.13093688411564408,0.7115743592562483,0.7333925798314016,0.5218633550768166,0.7354402506951274,2.4200668508898984,True,6.670894667445948,0.22208852774749377,6.882208202801143,0.04433512543775553,0.0,1.9761969838327786e-12,0.09217040171418667,0.0,4.474198789239381e-12
27,Uasin Gishu,115570296.90251842,0.1250064792982264,0.6523655892014798,0.6044689420177747,0.3943347375134207,0.3935753585511086,2.3617949482631744,True,4.524178146101399,0.09204166795699908,6.309552543110264,0.014518861354795298,0.0,-3.774758283725532e-13,0.04237943859732862,0.0,-1.176836406102666e-12
28,Elgeyo-Marakwet,36979326.347110145,0.12488910399703498,0.6237593269089459,0.600676155533717,0.3746773544659646,0.38472051834015597,2.324675406045837,True,4.30221695529267,0.08954420368774141,6.0328783619645225,0.015648512918708946,0.0,-1.27675647831893e-12,0.02829251411677891,0.0,-2.3425705819590803e-12
29,Nandi,97454361.52239361,0.12635774360518892,0.703829705869297,0.6464726186781171,0.4550066330567734,0.47304821481572884,2.389355763184042,True,5.449832038353608,0.1210118047425407,6.807303427252409,0.021288840752786697,0.0,1.1324274851176597e-12,0.06620308569231792,0.0,3.852473895449293e-12
30,Baringo,44028358.15744207,0.12414745347901691,0.5340350148024016,0.5727883912906615,0.3058890570215522,0.3403239955067517,2.303508130854303,True,3.392545755114429,0.07383454485248991,5.165082341148186,0.011448610858089125,0.0,-3.5638159090467525e-12,0.0061845560650919396,0.0,-1.8984813721090177e-12
31,Laikipia,36639081.097488515,0.123031281526093,0.7326139995925222,0.5011268281579215,0.3671325298798894,0.29558284405710744,2.4109020864895774,True,3.361691239550013,0.050424630774835444,7.0856994916352996,0.004746124605814472,0.0,1.1102230246251565e-12,0.01547760243798546,0.0,3.652633751016765e-12
32,Nakuru,158989109.48043457,0.12333986215795231,0.7721325970370689,0.5193230160532636,0.40098622908632986,0.3130913096548637,2.4020247842594515,True,3.830443292295005,0.05686842496552963,7.467915647056278,0.0060190889848543705,0.0,1.8984813721090177e-12,0.02085565006952894,0.0,6.761258219967203e-12
33,Narok,81630624.3940848,0.12426596123186744,0.5773881612024451,0.576601032889585,0.33292261012754804,0.3492579197452171,2.3559245104038675,True,3.6939388397687623,0.07633653404125057,5.584385504829948,0.00892731092925203,0.0,-1.7541523789077473e-12,0.03023796169148163,0.0,-6.2727600891321345e-12
34,Kajiado,68512335.16149174,0.12284078984882785,0.7031783634905695,0.48725969562332533,0.3426304753633229,0.2847702274640534,2.397190358930842,True,3.0438525242679093,0.046457594473246766,6.801003768813308,0.004118190098045815,0.0,5.773159728050814e-13,0.019206285825612568,0.0,2.8532731732866523e-12
35,Kericho,72881703.45298041,0.12455201261850724,0.6677001933236292,0.585493378213144,0.3909340418226209,0.3707730725983369,2.366924794198824,True,4.345671105550286,0.08238872097721672,6.4578658385669785,0.04254285355642651,0.0,8.881784197001252e-14,0.05667234577255709,0.0,1.2212453270876722e-13
36,Bomet,70347693.65225647,0.12365715242779252,0.6525056419273105,0.542622395426323,0.3540641744517878,0.3232807843977524,2.372476057295709,True,3.6207281021563897,0.06351660813916915,6.310907104895936,0.00862580743323793,0.0,-3.219646771412954e-13,0.02786035714170687,0.0,-1.1102230246251565e-12
37,Kakamega,109844122.41092336,0.12322388971430143,0.5671879722656292,0.5189971630292747,0.2943689485101885,0.2975357620257333,2.3720931774618084,True,2.889139174826827,0.054444145802924615,5.485731269028005,0.0005356925419475189,0.0,-1.6653345369377348e-13,0.04518869806326986,0.0,-1.667554982986985e-11
38,Vihiga,35521427.03302277,0.1227453999947562,0.8362173365192966,0.4773455980970779,0.3991646646399491,0.2851130998564164,2.4172433456624343,True,3.386520538666038,0.04447418915539264,8.087730728618292,0.005097836105294462,0.0,3.4861002973229915e-12,0.006743892480876035,0.0,4.5852210917018965e-12
39,Bungoma,136510451.71753034,0.12376022306925687,0.7962027452131774,0.5423661385071404,0.4318334083900556,0.33671142373682433,2.4006142511814748,True,4.326343128677812,0.0656811427906509,7.700717418817781,0.008348556082982128,0.0,2.6978419498391304e-12,0.026851766544333522,0.0,9.070522111187529e-12
40,Busia,59227298.087246954,0.12312492097802595,0.5611837667603161,0.5124110608584534,0.2875567692621965,0.2925299539278581,2.37693632568628,True,2.7757872049903876,0.05237772638238963,5.427659766097303,0.0049002475230874865,0.0,-1.8096635301390052e-12,0.021848796295631523,0.0,-8.43769498715119e-12
41,Siaya,46154482.397507034,0.12195272075123938,0.604208723187447,0.406791206392511,0.24578679541830029,0.24158856045156407,2.4376309271845686,True,1.6748757159746663,0.028073041440587754,5.843788738191524,0.0015837417100872386,0.0,-8.43769498715119e-13,0.01001108739089318,0.0,-5.5289106626332796e-12
42,Kisumu,74769087.97736695,0.12260326114715783,0.7584523239429583,0.4691596422504982,0.35583522096513726,0.27547176874079643,2.3933943453945052,True,2.9581843684673093,0.04152261005726937,7.33560271704925,0.00511637808848775,0.0,2.1094237467877974e-12,0.005542288677817808,0.0,2.275957200481571e-12
43,Homa Bay,79196548.36704892,0.1237426547353559,0.6810152991116704,0.5502951257670812,0.37475939967396305,0.3303036907690925,2.4091217077170812,True,3.8419095602518105,0.06531202964969729,6.586646940374619,0.01009838526127016,0.0,3.774758283725532e-13,0.07327716465561629,0.0,1.2026935003461858e-09
44,Migori,69285355.1910746,0.12335645229758999,0.7376517950730775,0.521593591426774,0.38475444901457323,0.31228711865196257,2.3940698861287917,True,3.7104647459823115,0.05721547344478828,7.134424065801504,0.006922084629334968,0.0,1.4765966227514582e-12,0.01910304051382372,0.0,4.163336342344337e-12
45,Kisii,91707486.94631222,0.12419562354451938,0.7322021873493533,0.5657187842399279,0.41422053124509206,0.3559844283078293,2.3768366302686252,True,4.398168159176641,0.07485115350773924,7.081716525036952,0.00946899013092306,0.0,1.3655743202889425e-12,0.03641048310369932,0.0,5.573319583618286e-12
46,Nyamira,35594302.93761679,0.12237168924363125,0.6948193126177719,0.4485647069131482,0.31167142132198594,0.26218729936783114,2.3959603409487302,True,2.458713386650979,0.03672382878218555,6.720156660817722,0.0036218133485643733,0.0,5.662137425588298e-13,0.002647675681588524,0.0,4.107825191113079e-13
47,Nairobi,417368174.5555492,0.12519835738077034,0.6555549529237404,0.6104396051337906,0.4001767066062688,0.40374089744890485,2.3529729990022643,True,4.635814411765948,0.09613094133506528,6.340399446108447,0.0148610974874952,0.0,-2.7755575615628914e-13,0.020412212526488283,0.0,-3.774758283725532e-13
